Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Binaria; -1; 9763; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 14666; 1.603000; 0; 1.603000
Ordenado; -1; 14666; 0.010000; 429792.523000; 429792.533000
Jump; -1; 14666; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 14666; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 2841; 1.568000; 0; 1.568000
Ordenado; -1; 2841; 0.003000; 429792.523000; 429792.526000
Jump; -1; 2841; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 2841; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 27467; 1.596000; 0; 1.596000
Ordenado; -1; 27467; 0.018000; 429792.523000; 429792.541000
Jump; -1; 27467; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 27467; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 16979; 1.569000; 0; 1.569000
Ordenado; -1; 16979; 0.012000; 429792.523000; 429792.535000
Jump; -1; 16979; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 16979; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 18166; 1.570000; 0; 1.570000
Ordenado; -1; 18166; 0.012000; 429792.523000; 429792.535000
Jump; -1; 18166; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 18166; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 24645; 1.564000; 0; 1.564000
Ordenado; -1; 24645; 0.016000; 429792.523000; 429792.539000
Jump; -1; 24645; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 24645; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 829; 1.558000; 0; 1.558000
Ordenado; -1; 829; 0.001000; 429792.523000; 429792.524000
Jump; -1; 829; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 829; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 12850; 1.571000; 0; 1.571000
Ordenado; -1; 12850; 0.009000; 429792.523000; 429792.532000
Jump; -1; 12850; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 12850; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 11790; 1.560000; 0; 1.560000
Ordenado; -1; 11790; 0.008000; 429792.523000; 429792.531000
Jump; -1; 11790; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 11790; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 7981; 1.588000; 0; 1.588000
Ordenado; -1; 7981; 0.006000; 429792.523000; 429792.529000
Jump; -1; 7981; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 7981; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 349; 1.563000; 0; 1.563000
Ordenado; -1; 349; 0.002000; 429792.523000; 429792.525000
Jump; -1; 349; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 349; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 28585; 1.560000; 0; 1.560000
Ordenado; -1; 28585; 0.018000; 429792.523000; 429792.541000
Jump; -1; 28585; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 28585; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 20661; 1.567000; 0; 1.567000
